Player ID,Date,Team,Opponent,Rebounds,Predicted Rebounds (Linear Model),Predicted Rebounds (Random Forest)
adebaba01,2024-04-12,MIA,TOR,6.0,6.343376115597285,6.56
adebaba01,2024-04-14,MIA,TOR,6.0,4.368541958049026,4.09
agbajoc01,2023-10-25,UTA,SAC,3.0,2.963452566403899,3.04
agbajoc01,2023-10-27,UTA,LAC,1.0,1.038768207945518,1.0
agbajoc01,2023-10-28,UTA,PHO,0.0,1.5470594819468493,1.25
agbajoc01,2023-10-30,UTA,DEN,2.0,1.5158946684485088,1.52
agbajoc01,2023-11-01,UTA,MEM,3.0,1.4873977632078148,1.38
agbajoc01,2023-11-02,UTA,ORL,0.0,1.048874538227814,0.52
agbajoc01,2023-11-04,UTA,MIN,2.0,2.497042479853723,2.71
agbajoc01,2023-11-06,UTA,CHI,1.0,0.4531727169876051,0.7
agbajoc01,2023-11-08,UTA,IND,4.0,3.0332206563743345,2.91
agbajoc01,2023-11-10,UTA,MEM,6.0,3.6029543705708686,4.53
agbajoc01,2023-11-14,UTA,POR,8.0,6.1302871908975325,7.26
agbajoc01,2023-11-17,UTA,PHO,5.0,5.583310176525706,5.41
agbajoc01,2023-11-19,UTA,PHO,3.0,5.537484346353873,5.34
agbajoc01,2023-11-21,UTA,LAL,3.0,3.9374197433105316,3.94
agbajoc01,2023-11-22,UTA,POR,0.0,1.4468656593580724,1.2
agbajoc01,2023-11-25,UTA,NOP,1.0,1.9179086240393943,2.14
agbajoc01,2023-11-27,UTA,NOP,0.0,-0.040860750949902915,0.0
agbajoc01,2023-11-29,UTA,MEM,4.0,2.535214564682643,2.02
agbajoc01,2023-11-30,UTA,MIN,6.0,3.127643519003474,4.05
agbajoc01,2023-12-02,UTA,POR,2.0,3.1070637757153556,2.48
agbajoc01,2023-12-06,UTA,DAL,0.0,3.0442231013338295,5.5
agbajoc01,2023-12-08,UTA,LAC,1.0,1.4623639731613725,1.59
agbajoc01,2023-12-11,UTA,OKC,1.0,0.5018515231252862,0.24
agbajoc01,2023-12-13,UTA,NYK,4.0,2.5905813029563265,2.83
agbajoc01,2023-12-14,UTA,POR,3.0,2.111727872610205,1.8
agbajoc01,2023-12-16,UTA,SAC,4.0,4.035608123816037,3.99
agbajoc01,2023-12-18,UTA,BRK,3.0,3.00692813353162,3.02
agbajoc01,2023-12-20,UTA,CLE,3.0,3.513210354425556,3.8775
agbajoc01,2023-12-21,UTA,DET,2.0,2.4790800144442655,2.628333333333334
agbajoc01,2023-12-23,UTA,TOR,3.0,2.969352307685074,3.02
agbajoc01,2023-12-26,UTA,SAS,4.0,2.993385533951677,2.23
agbajoc01,2023-12-28,UTA,NOP,1.0,1.9731446749510029,2.21
agbajoc01,2023-12-30,UTA,MIA,0.0,1.9754540297188674,1.67
agbajoc01,2024-01-01,UTA,DAL,2.0,1.4294415059165488,1.59
agbajoc01,2024-01-03,UTA,DET,1.0,0.48913477141188594,0.4
